Consumption prognosis in MWh,,,,,,,,,
Data was last updated 12-02-2018,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
27-01-2018,"5,00",17386,15865,10021,1839,1242,1020,761,1224
27-01-2018,"6,00",17785,16397,10170,1986,1313,1085,845,1329
27-01-2018,"7,00",18283,17073,10477,2168,1415,1144,895,1397
27-01-2018,"8,00",19015,17734,10577,2343,1538,1196,951,1516
27-01-2018,"9,00",19607,18417,10700,2444,1674,1235,966,1573
27-01-2018,"10,00",20021,18823,10741,2478,1741,1244,961,1595
27-01-2018,"11,00",20042,18883,10734,2466,1750,1237,955,1595
27-01-2018,"12,00",19872,18687,10708,2416,1724,1231,949,1584
27-01-2018,"13,00",19730,18441,10704,2379,1695,1230,941,1562
27-01-2018,"14,00",19682,18364,10843,2333,1668,1233,940,1549
27-01-2018,"15,00",19756,18590,11236,2344,1689,1281,964,1562
27-01-2018,"16,00",20122,19218,11690,2450,1782,1314,1026,1636
27-01-2018,"17,00",20413,19869,11798,2701,1948,1291,1010,1663
27-01-2018,"18,00",20380,19742,11643,2596,1901,1261,990,1618
27-01-2018,"19,00",20133,19302,11259,2377,1773,1223,953,1558
27-01-2018,"20,00",19650,18727,10847,2220,1670,1168,909,1481
27-01-2018,"21,00",19099,18122,11069,2130,1575,1107,846,1368
27-01-2018,"22,00",18680,17448,10911,2034,1497,1053,786,1235
27-01-2018,"23,00",18241,16783,10437,1933,1409,985,720,1145
28-01-2018,"0,00",17607,16204,10046,1823,1305,958,688,1126
28-01-2018,"1,00",17294,15851,9751,1761,1233,942,663,1094
28-01-2018,"2,00",17003,15696,9641,1703,1194,939,657,1082
28-01-2018,"3,00",16803,15622,9657,1677,1180,938,661,1083
28-01-2018,"4,00",16741,15659,9705,1669,1185,959,690,1107
28-01-2018,"5,00",16776,15818,9847,1717,1264,983,736,1170
28-01-2018,"6,00",16974,16157,9881,1817,1317,1036,799,1275
28-01-2018,"7,00",17292,16598,10106,2005,1389,1093,846,1334
28-01-2018,"8,00",17854,17020,10192,2117,1505,1150,893,1418
28-01-2018,"9,00",18373,17645,10400,2121,1613,1210,925,1492
28-01-2018,"10,00",18754,18167,10528,2080,1686,1218,949,1528
28-01-2018,"11,00",18804,18401,10590,2097,1707,1225,933,1539
28-01-2018,"12,00",18770,18464,10538,2068,1701,1226,929,1542
28-01-2018,"13,00",18744,18329,10498,2025,1694,1230,930,1534
28-01-2018,"14,00",18779,18229,10541,2018,1685,1244,936,1526
28-01-2018,"15,00",18949,18385,10881,2035,1704,1296,970,1557
28-01-2018,"16,00",19320,18920,11199,2140,1788,1324,1030,1668
28-01-2018,"17,00",19314,19472,11253,2502,1989,1319,1031,1695
28-01-2018,"18,00",19113,19476,11217,2448,1977,1300,1016,1672
28-01-2018,"19,00",18868,19152,11044,2284,1858,1259,999,1616
28-01-2018,"20,00",18613,18664,10685,2162,1706,1198,947,1531
28-01-2018,"21,00",18371,17974,10953,2060,1591,1123,858,1391
28-01-2018,"22,00",17970,17193,10853,1944,1483,1054,768,1262
28-01-2018,"23,00",17581,16509,10444,1862,1405,982,702,1161
29-01-2018,"0,00",17471,15992,10108,1786,1352,951,668,1163
29-01-2018,"1,00",17118,15715,9898,1703,1308,932,649,1118
29-01-2018,"2,00",17020,15630,9914,1571,1289,925,644,1104
29-01-2018,"3,00",17007,15722,10012,1619,1328,942,656,1117
29-01-2018,"4,00",17157,16006,10408,1679,1367,990,705,1192
29-01-2018,"5,00",17718,16810,11339,1843,1418,1110,829,1429
29-01-2018,"6,00",19111,18612,11878,2239,1588,1261,981,1648
29-01-2018,"7,00",20664,20414,12070,2658,1821,1364,1091,1773
29-01-2018,"8,00",21204,20917,11969,2821,1917,1393,1130,1832
29-01-2018,"9,00",21142,20912,11887,2831,1938,1390,1147,1835
29-01-2018,"10,00",21116,20922,11835,2920,1954,1381,1142,1841
29-01-2018,"11,00",21028,20864,11789,2946,1955,1359,1110,1824
29-01-2018,"12,00",20967,20735,11718,2806,1962,1378,1140,1849
29-01-2018,"13,00",20965,20645,11700,2818,1966,1367,1141,1831
29-01-2018,"14,00",21035,20631,11705,2857,1924,1362,1136,1818
29-01-2018,"15,00",21149,20765,11862,2844,1904,1374,1144,1799
29-01-2018,"16,00",21397,21011,12083,2859,1963,1394,1143,1853
29-01-2018,"17,00",21437,21479,12079,3035,2128,1364,1127,1856
29-01-2018,"18,00",21248,21277,12073,3021,2071,1326,1099,1782
29-01-2018,"19,00",20989,20870,11893,2746,1934,1276,1063,1738
29-01-2018,"20,00",20688,20256,11423,2520,1797,1205,981,1624
29-01-2018,"21,00",20265,19465,11467,2473,1673,1118,904,1466
29-01-2018,"22,00",19604,18455,11221,2382,1523,1026,816,1332
29-01-2018,"23,00",18825,17429,10736,2206,1404,961,726,1240
30-01-2018,"0,00",18046,16792,10376,2121,1319,886,689,1157
30-01-2018,"1,00",17630,16456,10210,2075,1240,868,682,1134
30-01-2018,"2,00",17541,16353,10186,2130,1204,867,674,1131
30-01-2018,"3,00",17619,16416,10288,2218,1219,876,686,1149
30-01-2018,"4,00",17787,16670,10675,2335,1248,924,709,1224
30-01-2018,"5,00",18337,17443,11494,2600,1330,1056,826,1443
30-01-2018,"6,00",19806,19232,11927,2859,1540,1217,988,1654
30-01-2018,"7,00",21457,21018,12055,3216,1840,1323,1092,1778
30-01-2018,"8,00",21956,21579,11915,3400,1928,1350,1125,1829
30-01-2018,"9,00",21780,21553,11883,3431,1937,1350,1129,1835
30-01-2018,"10,00",21724,21583,11880,3463,1954,1344,1116,1827
30-01-2018,"11,00",21577,21474,11933,3439,1927,1321,1088,1803
30-01-2018,"12,00",21457,21249,11899,3201,1906,1342,1119,1815
30-01-2018,"13,00",21349,21014,11906,3235,1910,1330,1117,1785
30-01-2018,"14,00",21338,20953,11916,3204,1877,1331,1106,1771
30-01-2018,"15,00",21410,21048,12070,2974,1876,1345,1123,1762
30-01-2018,"16,00",21716,21407,12324,3032,1957,1367,1142,1804
30-01-2018,"17,00",21581,22029,12349,3342,2140,1330,1135,1813
30-01-2018,"18,00",21390,21872,12351,3237,2121,1287,1096,1752
30-01-2018,"19,00",21131,21484,12192,3074,2006,1243,1067,1713
30-01-2018,"20,00",20855,20871,11761,2866,1865,1175,1006,1582
30-01-2018,"21,00",20340,20088,11827,2709,1738,1092,916,1416
30-01-2018,"22,00",19621,19068,11617,2548,1593,999,808,1287
30-01-2018,"23,00",18749,18054,11175,2353,1470,944,744,1188
31-01-2018,"0,00",17671,17428,10853,2146,1348,929,708,1160
31-01-2018,"1,00",17306,17069,10680,2023,1257,911,683,1133
31-01-2018,"2,00",17127,16913,10642,1995,1213,913,676,1115
31-01-2018,"3,00",17130,16920,10752,1966,1249,933,685,1127
31-01-2018,"4,00",17250,17076,11136,2039,1293,978,730,1196
31-01-2018,"5,00",17778,17757,11992,2247,1378,1086,851,1427
31-01-2018,"6,00",19191,19427,12407,2581,1582,1240,983,1630
31-01-2018,"7,00",20825,21091,12536,2998,1822,1344,1086,1760
31-01-2018,"8,00",21163,21508,12389,3109,1908,1363,1126,1821
31-01-2018,"9,00",21060,21445,12330,3054,1942,1362,1130,1824
31-01-2018,"10,00",21015,21401,12331,3086,1964,1357,1132,1818
31-01-2018,"11,00",20923,21348,12327,3066,1958,1330,1103,1783
31-01-2018,"12,00",20801,21195,12272,2973,1943,1357,1117,1792
31-01-2018,"13,00",20621,21060,12273,2970,1930,1354,1115,1775
31-01-2018,"14,00",20724,21071,12209,2944,1908,1354,1119,1767
31-01-2018,"15,00",20841,21241,12276,2853,1953,1370,1134,1762
31-01-2018,"16,00",21051,21459,12543,2861,2001,1408,1145,1798
31-01-2018,"17,00",21051,21901,12594,3103,2159,1375,1133,1796
31-01-2018,"18,00",20804,21675,12624,2970,2106,1342,1106,1745
31-01-2018,"19,00",20486,21208,12442,2787,1973,1291,1074,1694
31-01-2018,"20,00",20130,20510,11972,2629,1847,1221,999,1593
31-01-2018,"21,00",19674,19666,11990,2468,1723,1135,902,1435
31-01-2018,"22,00",19066,18648,11723,2288,1581,1046,806,1295
31-01-2018,"23,00",18368,17627,11223,2136,1463,984,723,1166
