X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
5931,34319,5819.333333333333,11638.666666666666,0,541.0000000000002,0,0,0,1331.0000000000005,0,0,0,0,0,15518.999999999998,3864.000000000001,0,0,0
6595.25,20091.75,2528.6666666666665,5057.333333333333,4326,5297,0,382.9999999999997,0,16309,4513.000000000001,0,0,0,0,17519.999999999996,11223,0,0,0
6138,30665,4458,8916,3580.0000000000005,4076,0,1490,70.00000000000014,12023,3884.000000000001,0,0,0,22.00000000000005,15903.999999999998,9516,0,0,0
4500.75,13502.25,3136.6666666666665,6273.333333333333,8477.000000000002,7306,277.00000000000006,5873,2361.9999999999995,16641,4624,0,0,0,333.0000000000002,17519.999999999996,11573,0,0,0
1063,3189,1729.6666666666665,3459.3333333333335,9600.000000000002,7920,1191.9999999999998,8732,8586,17e3,6326,0,0,0,323.00000000000034,17519.999999999996,13856,0,0,0
2778,8334,966.6666666666666,1933.3333333333333,7968.000000000001,7571,7.999999999999921,4106.999999999999,2037,17e3,5340.000000000001,0,0,0,42.00000000000011,17519.999999999996,14363,0,0,0
3035.25,9105.75,862.6666666666666,1725.3333333333333,7655.000000000001,7920,0,4127,1314.9999999999998,17e3,7342.000000000001,0,0,0,438.00000000000017,17519.999999999996,13533,0,0,0
3044,9132,1216.6666666666667,2433.3333333333335,8902.000000000002,7878,1721,6914,5778.999999999999,17e3,10134,0,0,0,298.00000000000045,17519.999999999996,14295,0,5.999999999999956,0
9898,48228,6753.333333333333,13506.666666666666,88.00000000000013,652.0000000000002,0,0,0,449.0000000000001,0,0,0,0,0,16113.999999999998,3409.000000000002,0,0,0
5864.5,19180.5,1472,2944,6676.000000000001,6142,3.999999999999887,3496.999999999999,1060,16583,9183.000000000002,0,0,0,287.00000000000006,17455.999999999996,12051,0,0,0
2566,7698,1012.9999999999999,2026,9315.000000000002,7920,683.9999999999998,8342,6575.999999999999,17e3,8589,0,0,0,0,17519.999999999996,14288,0,0,0
7206.499999999999,21619.5,3020,6040,4827.000000000001,6528,0,447.0000000000006,0,16641,3797.0000000000005,0,0,0,0,17519.999999999996,12272,0,0,0
9164.75,27494.25,3437.6666666666665,6875.333333333333,0,1322.0000000000002,0,0,0,11887,1449,0,0,0,0,17519.999999999996,9903,0,0,0
9168.75,30011.25,3731.6666666666665,7463.333333333333,0,820.0000000000001,0,0,0,8601,1314.0000000000005,0,0,0,0,17519.999999999996,9412.000000000002,0,0,0
7173.5,51641.5,6894.666666666666,13789.333333333334,0,0,0,0,0,0,105.99999999999984,0,0,0,0,16422.999999999996,5644.000000000002,0,0,0
6826.5,27669.5,5256,10512,4367,5536,0,887.9999999999997,0,15588,2231,0,0,0,0,15401.999999999998,9473,0,0,0
4711.5,14134.5,3672.333333333333,7344.666666666667,8723.000000000002,7920,0,6644.999999999999,1802.9999999999995,17e3,3690.9999999999995,0,0,0,0,17519.999999999996,11274,0,0,0
2346.5,7039.5,2761.6666666666665,5523.333333333333,9200.000000000002,7917,1702.9999999999995,8301,7257.999999999999,17e3,6059.000000000001,0,0,0,144.00000000000017,17519.999999999996,12108,0,70.9999999999999,0
1804.75,5414.25,934.3333333333333,1868.6666666666667,9371.000000000002,7920,1360,8151,6824,17e3,8639.000000000002,0,0,0,44.000000000000185,17519.999999999996,14542,0,0,0
2464,7392.000000000001,1102.3333333333333,2204.6666666666665,8578.000000000002,7683,0,5060.999999999999,1019.9999999999993,17e3,5356.000000000001,0,0,0,209.00000000000006,17519.999999999996,13228,0,0,0
2050.5,6151.5,362.3333333333333,724.6666666666667,8206.000000000002,7729,0,6022.999999999999,1263.9999999999995,17e3,6649.000000000001,0,0,0,50.00000000000014,17519.999999999996,14397,0,0,0
7684.5,23053.5,3194.6666666666665,6389.333333333333,3825.0000000000005,6712,0,1245,384.0000000000003,15937,4104.000000000001,0,0,0,129.00000000000034,17519.999999999996,13218,0,0,0
7274.75,31343.25,2800,5600,2936.0000000000005,4054,0,1695,91.99999999999994,11870,5143,0,0,0,0,17425.999999999996,12903,0,0,0
5237.5,50646.5,6267.666666666666,12535.333333333334,0,0,0,0,0,1794.0000000000002,116.00000000000041,0,0,0,0,16083.999999999998,6810.000000000001,0,0,0
8359.5,36432.5,3528.6666666666665,7057.333333333333,923.0000000000002,1720,0,180.00000000000034,0,9348,3063.0000000000005,0,0,0,0,16366.999999999998,11039,0,0,0
3716.75,11150.25,553.3333333333333,1106.6666666666665,8712,7920,0,5665,1477.9999999999993,17e3,8640,0,0,0,43.00000000000013,17519.999999999996,13881,0,0,0
4055.4999999999995,23948.5,2408.6666666666665,4817.333333333333,4121,4338,0,2052.999999999999,77.00000000000013,9895,2091,0,0,0,0,17212.999999999996,11143,0,0,0
2122.5,41835.5,6352,12704,0,77.00000000000023,0,0,0,0,48.99999999999996,0,0,0,0,14364.999999999998,4139.000000000001,0,0,0
3741.000000000002,51342,6813,13626,0,0,0,0,0,0,133.0000000000003,0,0,0,0,16483,4879.000000000001,0,0,0
9410.25,41730.75,6050.666666666666,12101.333333333332,886.0000000000005,2090,0,95.00000000000017,0,10750,1143.0000000000005,0,0,0,0,14648.999999999998,7651.000000000001,0,0,0
10111.5,41419.5,5060.333333333333,10120.666666666666,0,492.00000000000017,0,0,0,7169.000000000002,1203.0000000000005,0,0,0,0,17473.999999999996,8093.000000000001,0,0,0
