X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
5931.000000000001,34319,5819.333333333333,11638.666666666666,0,0,0,0,0,0,383.00000000000074,0,0,0,98.00000000000048,15518.999999999998,5255.000000000001,1872.0000000000011,0,0
6595.25,20091.75,2528.6666666666665,5057.333333333333,0,1340.9999999999993,0,0,0,13786,14003,0,0,0,255,17519.999999999996,12666,11188,0,0
6138,30665,4458,8916,529.0000000000001,1906,0,0,0,10036,10891,0,0,376.0000000000002,886.0000000000002,15903.999999999998,10037,8768,0,0
4500.75,13502.25,3136.6666666666665,6273.333333333333,3811,6015,0,1138,129.9999999999999,15487,13332,0,66.99999999999999,766.0000000000002,1681.0000000000002,17519.999999999996,15039,14355,0,0
1063,3189,1729.6666666666665,3459.3333333333335,8280,7717,0,5134.999999999999,497.9999999999994,17e3,15490,0,60.000000000000114,1147.0000000000005,3088.000000000001,17519.999999999996,15120,14400,0,0
2778,8334,966.6666666666666,1933.3333333333333,2504,4902.999999999999,0,994.9999999999998,0,15889,15310.000000000002,0,0,1178.0000000000005,2537.0000000000005,17519.999999999996,15120,14400,0,0
3035.25,9105.75,862.6666666666666,1725.3333333333333,2704.9999999999995,4580,0,211.00000000000003,0,16156,16512,0,138.00000000000003,860.0000000000002,3048.0000000000005,17519.999999999996,15120,14365,0,0
3044,9132,1216.6666666666667,2433.3333333333335,5696.000000000001,6677,0,3697.9999999999995,1078.9999999999993,16650,18422,0,0,1548.0000000000005,4037.0000000000005,17519.999999999996,15120,14400,0,0
9898.000000000002,48228,6753.333333333333,13506.666666666666,0,0,0,0,0,0,0,0,0,0,0,16380.999999999998,4331.000000000002,1189.0000000000002,0,0
5864.5,19180.5,1472,2944,1704,4447.999999999999,0,494.99999999999966,0,15464,18123,0,61.999999999999964,725,1690.0000000000007,17455.999999999996,12772,11851,0,0
2566,7698,1012.9999999999999,2026,7538.000000000001,7439,0,3435.999999999999,178.99999999999946,16845,18164,0,0,918.0000000000003,3075,17519.999999999996,15120,14400,0,0
7206.499999999999,21619.500000000004,3020,6040,66.00000000000018,1304,0,0,0,12812,13343,0,0,89.00000000000027,1778.0000000000007,17519.999999999996,15120,14261,0,0
9164.75,27494.25,3437.6666666666665,6875.333333333333,0,0,0,0,0,3276,8699,0,0,0,0,17519.999999999996,12586.000000000002,9933,0,0
9168.75,30011.25,3731.6666666666665,7463.333333333333,0,0,0,0,0,1016.0000000000006,7546.000000000001,0,0,0,0,17519.999999999996,11585.000000000002,8405,0,0
7173.500000000001,51641.5,6894.666666666666,13789.333333333334,0,0,0,0,0,0,105.9999999999999,0,0,0,0,16422.999999999996,5644.000000000002,0,0,0
6826.5,27669.5,5256,10512,230.9999999999998,1426.9999999999995,0,0,0,13933,10677,0,0,0,452.00000000000017,15424.999999999998,11340,10788,0,0
4711.5,14134.5,3672.333333333333,7344.666666666667,4271.999999999999,6664,0,236.9999999999999,0,16518,13179,0,0,66.99999999999999,999.0000000000006,17519.999999999996,15120,14400,0,0
2346.5,7039.5,2761.6666666666665,5523.333333333333,7329.000000000001,7416,0,4557.999999999999,1019.9999999999991,16727,15373.000000000002,0,0,644.0000000000002,1574.0000000000005,17519.999999999996,15120,14400,0,0
1804.75,5414.25,934.3333333333333,1868.6666666666667,7245,7301,0,4275,469.9999999999993,16935,18225,0,0,1216.0000000000007,3064.0000000000005,17519.999999999996,15120,14400,0,0
2464,7392.000000000001,1102.3333333333333,2204.6666666666665,2362.999999999999,6048.999999999999,0,352.9999999999998,0,16177,14688,0,0,738,2647.000000000001,17519.999999999996,15120,14400,0,0
2050.5,6151.5,362.3333333333333,724.6666666666666,3817.9999999999995,6006,0,0,0,15998,16146.000000000002,0,0,1223.0000000000005,3007.0000000000005,17519.999999999996,15120,14400,0,0
7684.5,23053.5,3194.6666666666665,6389.333333333333,789.0000000000001,1474.0000000000002,0,24.00000000000016,0,13093,13463.000000000002,0,0,670.0000000000003,1366.0000000000005,17519.999999999996,14675,12723,0,0
7274.75,31343.25,2800,5600,742,1896,0,0,0,7267,12885,0,0,657.0000000000002,1750.0000000000002,17425.999999999996,13496,10742,0,0
5237.500000000001,50646.5,6267.666666666666,12535.333333333334,0,0,0,0,0,129.00000000000028,1523.0000000000005,0,0,0,0,16083.999999999998,7068.000000000002,1665.0000000000002,0,0
8359.5,36432.5,3528.6666666666665,7057.333333333333,0,440.0000000000004,0,0,0,3442,10152,0,0,390.0000000000001,700.0000000000001,16366.999999999998,11149,8289,0,0
3716.75,11150.250000000002,553.3333333333333,1106.6666666666665,3551,6198,0,123.9999999999995,0,16502,18168,0,0,614.0000000000002,3062.0000000000005,17519.999999999996,15120,14400,0,0
4055.5,23948.5,2408.6666666666665,4817.333333333333,709.9999999999999,2633.9999999999995,0,0,0,7876,8000.000000000001,0,0,94.00000000000013,1695.0000000000005,17212.999999999996,12709,9264,0,0
2122.5000000000005,41835.5,6352,12704,0,0,0,0,0,0,48.999999999999844,0,0,0,0,14364.999999999998,4216.000000000002,77.00000000000033,0,0
3741.000000000003,51342,6813,13626,0,0,0,0,0,0,133.00000000000043,0,0,0,0,16482.999999999996,4879.000000000002,0,0,0
9410.25,41730.75,6050.666666666666,12101.333333333334,0,225.00000000000014,0,0,0,4223,6954.000000000001,0,0,156.0000000000002,584.0000000000003,14648.999999999998,10473,9373,0,0
10111.5,41419.5,5060.333333333333,10120.666666666666,0,0,0,0,0,1484,5252.000000000001,0,0,0,0,17473.999999999996,10221.000000000002,6177.000000000002,0,0
