X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
378.25,1134.75,93,186,0,118.00000000000018,0,0,0,0,0,0,0,0,0,729.9999999999999,582,0,0,0
340.24999999999994,1020.7500000000001,113.33333333333333,226.66666666666669,0,187.00000000000003,0,0,0,0,0,0,0,0,0,729.9999999999999,471.0000000000001,0,0,0
360.24999999999994,1080.75,167.66666666666666,335.3333333333333,0,17.999999999999993,0,0,0,0,0,0,0,0,0,729.9999999999999,264.00000000000006,0,0,0
222.49999999999974,1177.5,209,418,0,0,0,0,0,0,0,0,0,0,0,729.9999999999999,69.00000000000007,0,0,0
100.25000000000007,1260.75,228,456,0,0,0,0,0,0,0,0,0,0,0,693.9999999999999,0,0,0,0
0,1334.0000000000002,264.66666666666663,529.3333333333333,0,0,0,0,0,0,0,0,0,0,0,545.0000000000002,0,0,0,0
0,1377,289.3333333333333,578.6666666666666,0,0,0,0,0,0,0,0,0,0,0,420.00000000000006,0,0,0,0
129.25000000000009,1440.75,294.66666666666663,589.3333333333333,0,0,0,0,0,0,0,0,0,0,0,420.00000000000006,0,0,0,0
119.24999999999993,1446.75,299.3333333333333,598.6666666666666,0,0,0,0,0,0,0,0,0,0,0,449.00000000000006,0,0,0,0
306.25000000000006,1449.75,304.66666666666663,609.3333333333334,0,0,0,0,0,0,0,0,0,0,0,446.0000000000001,0,0,0,0
306.7499999999998,1580.25,308.66666666666663,617.3333333333333,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0
184.75000000000006,1754.25,305.66666666666663,611.3333333333333,0,0,0,0,0,0,0,0,0,0,0,620.0000000000001,0,0,0,0
87.99999999999986,1893.0000000000002,306,612.0000000000001,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0
0,1958.0000000000002,315.3333333333333,630.6666666666666,0,0,0,0,0,0,0,0,0,0,0,621.9999999999999,0,0,0,0
0,1870,314,628.0000000000001,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0
70.75000000000043,1898.25,294.3333333333333,588.6666666666666,0,0,0,0,0,0,0,0,0,0,0,729.9999999999999,37.00000000000018,0,0,0
346.74999999999994,1709.2500000000002,268,536.0000000000001,0,0,0,0,0,0,0,0,0,0,0,729.9999999999999,350.00000000000017,0,0,0
498.74999999999994,1496.25,250.66666666666666,501.3333333333333,0,0,0,0,0,258.00000000000034,0,0,0,0,0,729.9999999999999,516.0000000000001,0,0,0
458.49999999999994,1375.5,234,468,0,0,0,0,0,358.0000000000001,0,0,0,0,0,729.9999999999999,511.0000000000001,0,0,0
438.24999999999994,1314.75,222.66666666666666,445.3333333333333,0,0,0,0,0,290,0,0,0,0,0,729.9999999999999,305,0,0,0
416.5,1249.5,217.33333333333331,434.66666666666663,0,0,0,0,0,247.9999999999999,0,0,0,0,0,729.9999999999999,239.00000000000009,0,0,0
408,1224,198.33333333333331,396.66666666666663,0,0,0,0,0,177.00000000000014,0,0,0,0,0,729.9999999999999,199.00000000000009,0,0,0
391.74999999999994,1175.25,173,346,0,115.9999999999999,0,0,0,0,0,0,0,0,0,729.9999999999999,168.99999999999997,0,0,0
366,1098,147.66666666666666,295.3333333333333,0,102.00000000000011,0,0,0,0,0,0,0,0,0,729.9999999999999,152,0,0,0
344.75000000000017,1127.25,164.33333333333331,328.6666666666667,0,0,0,0,0,0,0,0,0,0,0,729.9999999999999,35.00000000000006,0,0,0
304,1125,146,292,0,0,0,0,0,0,0,0,0,0,0,729.9999999999999,19.999999999999968,0,0,0
356.5,1069.5,126.33333333333333,252.66666666666666,0,5.0000000000001315,0,0,0,0,0,0,0,0,0,729.9999999999999,58,0,0,0
328.25,984.75,103.33333333333333,206.66666666666666,0,136.00000000000003,0,0,0,0,0,0,0,0,0,729.9999999999999,147.00000000000009,0,0,0
288.49999999999994,865.5000000000001,77.66666666666666,155.33333333333331,2.9999999999999916,330,0,0,0,0,0,0,0,0,0,729.9999999999999,272,0,0,0
255.24999999999997,765.75,73,146,0,0,0,0,0,561.9999999999999,0,0,0,0,0,729.9999999999999,344.00000000000017,0,0,0
242.75,728.25,72,144,0,0,0,0,0,993,0,0,0,0,0,729.9999999999999,464,0,0,0
237.25,711.75,70.66666666666666,141.33333333333334,191,330,0,0,0,1e3,134.00000000000006,0,0,0,0,729.9999999999999,630,0,0,0
243.74999999999997,731.25,74,148,332.0000000000001,330,0,0,0,1e3,283.0000000000001,0,0,0,0,729.9999999999999,630,0,0,0
